generator,sample,seed,mean,variance,std_dev,cv_percent,chi2,p_value,chi2_passed
LCG,1,1000003,2470.01,2.04789e+06,1431.05,57.9369,11.12,0.267573,1
LCG,2,2000006,2536.47,1.98741e+06,1409.76,55.5795,7.16,0.620465,1
LCG,3,3000009,2525.54,2.02019e+06,1421.33,56.2784,6.54,0.68489,1
LCG,4,4000012,2526.56,2.06646e+06,1437.52,56.8962,9.38,0.402962,1
LCG,5,5000015,2521.48,2.17186e+06,1473.72,58.4468,8.24,0.510153,1
LCG,6,6000018,2502.16,2.00672e+06,1416.59,56.6146,6.9,0.64753,1
LCG,7,7000021,2500.39,2.01689e+06,1420.17,56.7982,4.92,0.841226,1
LCG,8,8000024,2556.25,1.93984e+06,1392.78,54.4854,19.24,0.0232278,0
LCG,9,9000027,2510.65,2.1077e+06,1451.79,57.8253,6.7,0.668321,1
LCG,10,10000030,2582.45,2.05735e+06,1434.35,55.542,10.46,0.314544,1
LCG,11,11000033,2598.39,2.02038e+06,1421.4,54.7031,13.1,0.158133,1
LCG,12,12000036,2505.59,2.03168e+06,1425.37,56.8877,3.74,0.927677,1
LCG,13,13000039,2466.18,2.19412e+06,1481.25,60.0628,6.6,0.678686,1
LCG,14,14000042,2491.86,2.03704e+06,1427.25,57.2763,12.56,0.183547,1
LCG,15,15000045,2538.06,2.19448e+06,1481.38,58.3665,14.52,0.104993,1
LCG,16,16000048,2453.31,2.06119e+06,1435.68,58.5204,9.74,0.371941,1
LCG,17,17000051,2511.21,2.12723e+06,1458.5,58.0797,6.22,0.717714,1
LCG,18,18000054,2561.9,2.10026e+06,1449.23,56.5684,2.94,0.966626,1
LCG,19,19000057,2480.87,2.0709e+06,1439.06,58.0062,6.38,0.701366,1
LCG,20,20000060,2413.91,2.0648e+06,1436.94,59.5274,9.94,0.355364,1
VonNeumann+Weyl,1,1000003,2541.72,2.13783e+06,1462.13,57.5254,5.06,0.829047,1
VonNeumann+Weyl,2,2000006,2484.56,2.04124e+06,1428.72,57.5039,7.38,0.59762,1
VonNeumann+Weyl,3,3000009,2546.3,2.10185e+06,1449.78,56.9366,4.92,0.841226,1
VonNeumann+Weyl,4,4000012,2471.4,2.13666e+06,1461.73,59.1458,4.38,0.884671,1
VonNeumann+Weyl,5,5000015,2508.22,2.0794e+06,1442.01,57.4915,7.02,0.635037,1
VonNeumann+Weyl,6,6000018,2538.83,2.13012e+06,1459.49,57.487,4.9,0.842937,1
VonNeumann+Weyl,7,7000021,2515.51,2.14188e+06,1463.52,58.1798,4.7,0.859637,1
VonNeumann+Weyl,8,8000024,2556.61,2.10134e+06,1449.6,56.7001,11.4,0.249284,1
VonNeumann+Weyl,9,9000027,2436.14,2.07211e+06,1439.48,59.0886,5.94,0.745908,1
VonNeumann+Weyl,10,10000030,2530.7,2.00425e+06,1415.71,55.9417,5.08,0.827279,1
VonNeumann+Weyl,11,11000033,2470.62,2.00366e+06,1415.51,57.2936,13.58,0.138069,1
VonNeumann+Weyl,12,12000036,2508.55,2.04048e+06,1428.45,56.9433,2.72,0.97437,1
VonNeumann+Weyl,13,13000039,2524.17,2.13361e+06,1460.69,57.8682,5.4,0.798139,1
VonNeumann+Weyl,14,14000042,2473.15,2.10719e+06,1451.62,58.6949,3.98,0.912724,1
VonNeumann+Weyl,15,15000045,2423.29,2.10551e+06,1451.04,59.8789,8.94,0.442831,1
VonNeumann+Weyl,16,16000048,2444.02,2.05548e+06,1433.69,58.6612,8.5,0.484646,1
VonNeumann+Weyl,17,17000051,2503.35,2.08786e+06,1444.94,57.7203,5.72,0.767582,1
VonNeumann+Weyl,18,18000054,2408.39,1.99525e+06,1412.53,58.6505,8.44,0.490483,1
VonNeumann+Weyl,19,19000057,2606.42,2.0424e+06,1429.13,54.831,15.96,0.0677216,1
VonNeumann+Weyl,20,20000060,2498.38,2.10104e+06,1449.5,58.0175,3.48,0.942198,1
Xorshift32,1,1000003,2440.36,2.09104e+06,1446.04,59.2552,3.68,0.931185,1
Xorshift32,2,2000006,2570.55,2.02852e+06,1424.26,55.4068,18.5,0.0297963,0
Xorshift32,3,3000009,2539.1,2.1054e+06,1451,57.1462,6.22,0.717714,1
Xorshift32,4,4000012,2533.99,2.1787e+06,1476.04,58.2497,6.98,0.639202,1
Xorshift32,5,5000015,2438.01,2.06532e+06,1437.12,58.9467,4.96,0.837781,1
Xorshift32,6,6000018,2514.69,2.04699e+06,1430.73,56.8949,5.36,0.801865,1
Xorshift32,7,7000021,2525.8,2.04304e+06,1429.35,56.59,4.32,0.889118,1
Xorshift32,8,8000024,2533.98,2.15752e+06,1468.85,57.9663,5.82,0.75779,1
Xorshift32,9,9000027,2570.44,2.00879e+06,1417.32,55.139,7.26,0.61007,1
Xorshift32,10,10000030,2427.8,1.97551e+06,1405.53,57.8931,10,0.350485,1
Xorshift32,11,11000033,2461.88,2.11227e+06,1453.37,59.0348,3.66,0.932333,1
Xorshift32,12,12000036,2499.02,2.13306e+06,1460.5,58.4428,7.7,0.564639,1
Xorshift32,13,13000039,2486.56,1.97817e+06,1406.48,56.5632,6.74,0.664168,1
Xorshift32,14,14000042,2403.79,2.06509e+06,1437.04,59.7824,22.54,0.00731637,0
Xorshift32,15,15000045,2433.29,2.1544e+06,1467.79,60.321,8.58,0.476911,1
Xorshift32,16,16000048,2496.54,2.07781e+06,1441.46,57.7385,8.64,0.471146,1
Xorshift32,17,17000051,2548.88,2.16144e+06,1470.18,57.6796,11.84,0.22248,1
Xorshift32,18,18000054,2527.34,1.96093e+06,1400.33,55.4073,13.22,0.152902,1
Xorshift32,19,19000057,2450.91,2.06659e+06,1437.56,58.6542,5.8,0.759756,1
Xorshift32,20,20000060,2447.52,2.08563e+06,1444.17,59.0055,4.34,0.887645,1
